task,arch,seed_mean_tok_acc,seed_std,n_seeds,seed1,seed2,seed3,seed4,seed5
copy_count,alt_attn_stu,0.99292,0.00074,5,0.99274,0.99298,0.99274,0.99422,0.99193
copy_count,headwise,0.99053,0.00026,5,0.99031,0.99088,0.99079,0.99025,0.99041
copy_count,stu,0.74515,0.0084,5,0.74983,0.73314,0.74008,0.74486,0.75784
copy_offset,attn,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
copy_offset,mamba,0.01674,0.00042,5,0.01728,0.01624,0.01665,0.01638,0.01717
copy_offset,mamba2,0.03809,0.01198,5,0.02906,0.02752,0.05028,0.02859,0.05499
copy_offset,alt_attn_mamba,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
copy_offset,alt_attn_stu,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
copy_offset,headwise,0.99652,0.00696,5,1.0,1.0,1.0,0.98261,1.0
copy_offset,stu,0.50812,0.0057,5,0.51391,0.50218,0.50588,0.50278,0.51587
counting,attn,0.78535,0.22415,5,0.97852,0.99121,0.40332,0.88965,0.66406
counting,mamba,0.14492,0.03474,5,0.20508,0.10645,0.12305,0.12988,0.16016
counting,mamba2,0.9627,0.02131,5,0.98145,0.92676,0.9502,0.97363,0.98145
counting,alt_attn_mamba,0.99668,0.001,5,0.99707,0.99609,0.99707,0.99512,0.99805
counting,alt_attn_stu,0.99707,0.00062,5,0.99805,0.99707,0.99707,0.99609,0.99707
counting,headwise,0.38984,0.18809,5,0.55957,0.33691,0.65527,0.22852,0.16895
counting,stu,0.15215,0.00975,5,0.16992,0.14648,0.14551,0.15527,0.14355
cumulative_sum,attn,0.1332,0.00493,5,0.12988,0.13086,0.1416,0.12793,0.13574
cumulative_sum,mamba,0.1291,0.00734,5,0.12793,0.13086,0.1416,0.12598,0.11914
cumulative_sum,mamba2,0.12949,0.00667,5,0.12695,0.13086,0.1416,0.12598,0.12207
cumulative_sum,alt_attn_mamba,0.13008,0.0061,5,0.12695,0.13086,0.1416,0.12598,0.125
cumulative_sum,alt_attn_stu,0.13281,0.00639,5,0.12207,0.13086,0.1416,0.13477,0.13477
cumulative_sum,headwise,0.12949,0.00667,5,0.12695,0.13086,0.1416,0.12598,0.12207
cumulative_sum,stu,0.1334,0.00667,5,0.1377,0.13086,0.1416,0.13477,0.12207
deep_hop,attn,0.38086,0.01465,5,0.40625,0.36914,0.36426,0.38477,0.37988
deep_hop,mamba,0.4084,0.01575,5,0.43945,0.4043,0.39648,0.40234,0.39941
deep_hop,mamba2,0.45996,0.01889,5,0.49023,0.44824,0.44727,0.44043,0.47363
deep_hop,alt_attn_mamba,0.46582,0.01889,5,0.49902,0.45508,0.47461,0.4502,0.4502
deep_hop,alt_attn_stu,0.39141,0.02133,5,0.42969,0.37207,0.37598,0.37988,0.39941
deep_hop,headwise,0.37715,0.02289,5,0.41699,0.37305,0.3457,0.37207,0.37793
deep_hop,stu,0.38008,0.02333,5,0.42188,0.37695,0.34961,0.375,0.37695
delayed_echo,attn,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
delayed_echo,mamba,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
delayed_echo,mamba2,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
delayed_echo,alt_attn_mamba,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
delayed_echo,alt_attn_stu,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
delayed_echo,headwise,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
delayed_echo,stu,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
dual_hop_retrieve,attn,0.94033,0.04229,5,0.87549,0.97119,0.93213,0.92383,0.99902
dual_hop_retrieve,mamba,0.27373,0.02861,5,0.30908,0.30371,0.24854,0.23779,0.26953
dual_hop_retrieve,mamba2,0.8498,0.10036,5,0.74512,0.92529,0.71045,0.94043,0.92773
dual_hop_retrieve,alt_attn_mamba,0.93115,0.00281,5,0.93066,0.93018,0.92822,0.93018,0.93652
dual_hop_retrieve,alt_attn_stu,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
dual_hop_retrieve,headwise,0.36396,0.2039,5,0.25293,0.22754,0.27051,0.76904,0.2998
dual_hop_retrieve,stu,0.23613,0.00783,5,0.24463,0.23438,0.23584,0.24316,0.22266
dual_query_hop,attn,0.28232,0.01013,5,0.28564,0.29346,0.28516,0.26318,0.28418
dual_query_hop,mamba,0.28369,0.00499,5,0.29248,0.28564,0.28076,0.27832,0.28125
dual_query_hop,mamba2,0.77275,0.246,5,0.9082,0.80908,0.29004,0.90039,0.95605
dual_query_hop,alt_attn_mamba,0.28437,0.01057,5,0.28857,0.2915,0.29199,0.26367,0.28613
dual_query_hop,alt_attn_stu,0.28691,0.00267,5,0.28906,0.28711,0.29053,0.28418,0.28369
dual_query_hop,headwise,0.28252,0.00932,5,0.29346,0.28125,0.29297,0.27148,0.27344
dual_query_hop,stu,0.19053,0.00726,5,0.18506,0.19336,0.2002,0.17969,0.19434
first_vs_last,attn,0.39414,0.08364,5,0.44336,0.48926,0.24316,0.41602,0.37891
first_vs_last,mamba,0.90293,0.04166,5,0.8252,0.92773,0.93945,0.89453,0.92773
first_vs_last,mamba2,0.90137,0.00599,5,0.90039,0.90527,0.90234,0.9082,0.89062
first_vs_last,alt_attn_mamba,0.76074,0.24058,5,0.58984,0.37012,0.9873,0.91895,0.9375
first_vs_last,alt_attn_stu,0.64941,0.18443,5,0.97168,0.70508,0.57031,0.42188,0.57812
first_vs_last,headwise,0.36797,0.07696,5,0.24414,0.42773,0.3125,0.41211,0.44336
first_vs_last,stu,0.35547,0.03137,5,0.2959,0.38477,0.3623,0.37695,0.35742
grid_multihop,attn,0.40508,0.05592,5,0.31055,0.38477,0.46875,0.45215,0.40918
grid_multihop,mamba,0.23301,0.00748,5,0.24219,0.22168,0.23145,0.24023,0.22949
grid_multihop,mamba2,0.24512,0.00654,5,0.25,0.23828,0.23828,0.24414,0.25488
grid_multihop,alt_attn_mamba,0.4123,0.02119,5,0.39551,0.42188,0.40332,0.44922,0.3916
grid_multihop,alt_attn_stu,0.40449,0.03644,5,0.38281,0.44141,0.37793,0.36523,0.45508
grid_multihop,headwise,0.23926,0.00796,5,0.24805,0.22461,0.24414,0.23926,0.24023
grid_multihop,stu,0.17773,0.00916,5,0.16992,0.17383,0.17188,0.17773,0.19531
grid_retrieval,attn,0.24961,0.14704,5,0.33398,0.50098,0.14648,0.14062,0.12598
grid_retrieval,mamba,0.02285,0.00465,5,0.02051,0.02832,0.02734,0.02246,0.01562
grid_retrieval,mamba2,0.03223,0.0041,5,0.03125,0.03418,0.02734,0.03906,0.0293
grid_retrieval,alt_attn_mamba,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
grid_retrieval,alt_attn_stu,0.92812,0.14375,5,1.0,1.0,0.64062,1.0,1.0
grid_retrieval,headwise,0.02598,0.00347,5,0.02734,0.01953,0.0293,0.02832,0.02539
grid_retrieval,stu,0.04512,0.00672,5,0.04102,0.03711,0.04297,0.05664,0.04785
grid_three_coord,attn,0.34687,0.33071,5,0.18034,1.0,0.13021,0.27962,0.14421
grid_three_coord,mamba,0.02148,0.00305,5,0.02474,0.02116,0.02376,0.02181,0.01595
grid_three_coord,mamba2,0.03828,0.00479,5,0.03939,0.03027,0.03678,0.04004,0.04492
grid_three_coord,alt_attn_mamba,0.99974,0.00052,5,1.0,1.0,1.0,1.0,0.9987
grid_three_coord,alt_attn_stu,0.52428,0.38861,5,0.19499,0.24121,0.18587,1.0,0.99935
grid_three_coord,headwise,0.02474,0.00262,5,0.02376,0.02832,0.02474,0.02637,0.02051
grid_three_coord,stu,0.04447,0.00187,5,0.04688,0.04655,0.04264,0.04362,0.04264
grid_two_coord,attn,0.12178,0.01776,5,0.12744,0.14307,0.11719,0.13086,0.09033
grid_two_coord,mamba,0.02168,0.00215,5,0.02588,0.02148,0.02002,0.02051,0.02051
grid_two_coord,mamba2,0.03291,0.00322,5,0.03467,0.02783,0.0376,0.03223,0.03223
grid_two_coord,alt_attn_mamba,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
grid_two_coord,alt_attn_stu,0.6418,0.43883,5,1.0,0.08838,1.0,0.12061,1.0
grid_two_coord,headwise,0.02549,0.00153,5,0.02539,0.02539,0.02393,0.02441,0.02832
grid_two_coord,stu,0.0415,0.00249,5,0.04053,0.04248,0.0459,0.03955,0.03906
hop_distance_bucket,attn,0.5959,0.01582,5,0.57422,0.60547,0.62012,0.59375,0.58594
hop_distance_bucket,mamba,0.60723,0.02836,5,0.57422,0.64062,0.6416,0.59375,0.58594
hop_distance_bucket,mamba2,0.63457,0.01728,5,0.61914,0.63965,0.66602,0.62695,0.62109
hop_distance_bucket,alt_attn_mamba,0.6291,0.01104,5,0.61914,0.6416,0.64062,0.62988,0.61426
hop_distance_bucket,alt_attn_stu,0.5959,0.01582,5,0.57422,0.60547,0.62012,0.59375,0.58594
hop_distance_bucket,headwise,0.5959,0.01582,5,0.57422,0.60547,0.62012,0.59375,0.58594
hop_distance_bucket,stu,0.29902,0.01151,5,0.29395,0.30859,0.29395,0.31543,0.2832
induction,attn,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
induction,mamba,0.01621,0.00417,5,0.02148,0.01758,0.01562,0.01758,0.00879
induction,mamba2,0.01855,0.00296,5,0.02051,0.02051,0.01367,0.02148,0.0166
induction,alt_attn_mamba,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
induction,alt_attn_stu,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
induction,headwise,0.78125,0.18193,5,0.7627,1.0,0.7959,0.89062,0.45703
induction,stu,0.01934,0.00397,5,0.02148,0.01758,0.0127,0.02441,0.02051
induction_gap,attn,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
induction_gap,mamba,0.01953,0.0045,5,0.01855,0.01758,0.02734,0.02051,0.01367
induction_gap,mamba2,0.01582,0.00416,5,0.01465,0.02344,0.01465,0.01074,0.01562
induction_gap,alt_attn_mamba,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
induction_gap,alt_attn_stu,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
induction_gap,headwise,0.86289,0.07028,5,0.8584,0.9834,0.77051,0.8252,0.87695
induction_gap,stu,0.01602,0.00294,5,0.01953,0.0127,0.01953,0.01367,0.01465
interleave,attn,0.99784,0.00133,5,0.99806,0.99946,0.99907,0.99637,0.99625
interleave,mamba,0.0171,0.00043,5,0.01718,0.0176,0.01722,0.0172,0.0163
interleave,mamba2,0.04004,0.00656,5,0.03754,0.03284,0.0438,0.0351,0.05092
interleave,alt_attn_mamba,0.99803,0.00392,5,1.0,0.9902,1.0,0.99998,0.99999
interleave,alt_attn_stu,0.99994,2e-05,5,0.99997,0.9999,0.99992,0.99996,0.99995
interleave,headwise,0.31722,0.21057,5,0.55092,0.25796,0.57395,0.05309,0.15019
interleave,stu,0.10856,0.0011,5,0.10817,0.10768,0.1074,0.10908,0.11045
k_hop,attn,0.29648,0.00719,5,0.30762,0.29199,0.28613,0.29785,0.29883
k_hop,mamba,0.3416,0.01358,5,0.36328,0.33105,0.32617,0.35059,0.33691
k_hop,mamba2,0.79844,0.10096,5,0.77344,0.62793,0.83398,0.81836,0.93848
k_hop,alt_attn_mamba,0.29707,0.00952,5,0.31445,0.29199,0.28613,0.29492,0.29785
k_hop,alt_attn_stu,0.29492,0.01319,5,0.3125,0.28906,0.27344,0.29688,0.30273
k_hop,headwise,0.29648,0.00568,5,0.30469,0.29785,0.28711,0.29492,0.29785
k_hop,stu,0.16797,0.00517,5,0.1748,0.16699,0.16406,0.17285,0.16113
last_tagged,attn,0.45664,0.26788,5,0.99219,0.32129,0.31055,0.33398,0.3252
last_tagged,mamba,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
last_tagged,mamba2,0.99824,0.00114,5,0.99707,0.99707,0.99805,1.0,0.99902
last_tagged,alt_attn_mamba,0.99922,0.00114,5,0.99902,1.0,1.0,1.0,0.99707
last_tagged,alt_attn_stu,0.31641,0.01518,5,0.29004,0.3291,0.30957,0.33105,0.32227
last_tagged,headwise,0.92793,0.08268,5,0.9209,0.99023,0.99023,0.96777,0.77051
last_tagged,stu,0.31836,0.01112,5,0.29785,0.32715,0.32422,0.32715,0.31543
longest_run,attn,0.9998,0.00039,5,1.0,1.0,1.0,0.99902,1.0
longest_run,mamba,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
longest_run,mamba2,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
longest_run,alt_attn_mamba,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
longest_run,alt_attn_stu,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
longest_run,headwise,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
longest_run,stu,0.71445,0.01038,5,0.70898,0.7207,0.70215,0.70898,0.73145
mode,attn,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
mode,mamba,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
mode,mamba2,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
mode,alt_attn_mamba,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
mode,alt_attn_stu,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
mode,headwise,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
mode,stu,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
mode_tagged,attn,0.96211,0.04674,5,1.0,0.91406,1.0,0.89648,1.0
mode_tagged,mamba,0.95176,0.00638,5,0.9541,0.95508,0.95996,0.94141,0.94824
mode_tagged,mamba2,0.99805,0.00185,5,0.99805,1.0,1.0,0.99707,0.99512
mode_tagged,alt_attn_mamba,0.9377,0.03726,5,0.90723,0.94238,1.0,0.89258,0.94629
mode_tagged,alt_attn_stu,0.99336,0.0128,5,1.0,1.0,1.0,0.99902,0.96777
mode_tagged,headwise,0.925,0.03887,5,0.91699,0.91113,0.91406,0.88379,0.99902
mode_tagged,stu,0.90254,0.00628,5,0.90527,0.91016,0.90039,0.8916,0.90527
multi_induction,attn,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
multi_induction,mamba,0.01836,0.00299,5,0.01855,0.01953,0.01953,0.0127,0.02148
multi_induction,mamba2,0.01777,0.00144,5,0.01562,0.01855,0.01855,0.0166,0.01953
multi_induction,alt_attn_mamba,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
multi_induction,alt_attn_stu,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
multi_induction,headwise,0.92676,0.07466,5,0.9043,0.93164,0.79785,1.0,1.0
multi_induction,stu,0.01797,0.00537,5,0.02246,0.01855,0.00781,0.02246,0.01855
multi_state_tracking,attn,0.92109,0.0302,5,0.95996,0.93945,0.87012,0.91113,0.9248
multi_state_tracking,mamba,0.99121,0.00309,5,0.99414,0.98828,0.99512,0.9873,0.99121
multi_state_tracking,mamba2,0.99258,0.00384,5,0.99414,0.99023,0.99512,0.98633,0.99707
multi_state_tracking,alt_attn_mamba,0.96562,0.00472,5,0.96875,0.95898,0.96875,0.9707,0.96094
multi_state_tracking,alt_attn_stu,0.95723,0.01963,5,0.97266,0.91992,0.96484,0.97266,0.95605
multi_state_tracking,headwise,0.9625,0.01302,5,0.97461,0.93848,0.96289,0.96289,0.97363
multi_state_tracking,stu,0.44824,0.01866,5,0.47168,0.43262,0.45117,0.46387,0.42188
nearest_key,attn,0.1375,0.00881,5,0.1416,0.15039,0.12402,0.13281,0.13867
nearest_key,mamba,0.13066,0.0046,5,0.12695,0.13672,0.12598,0.12793,0.13574
nearest_key,mamba2,0.12812,0.00948,5,0.13672,0.1377,0.11328,0.13184,0.12109
nearest_key,alt_attn_mamba,0.13613,0.00703,5,0.13867,0.14746,0.12695,0.13086,0.13672
nearest_key,alt_attn_stu,0.13594,0.00806,5,0.13477,0.15137,0.13184,0.13379,0.12793
nearest_key,headwise,0.07051,0.0125,5,0.06152,0.07715,0.0918,0.06445,0.05762
nearest_key,stu,0.1252,0.00529,5,0.13184,0.11914,0.12988,0.11914,0.12598
needle,attn,0.0293,0.00549,5,0.03125,0.02344,0.03809,0.03027,0.02344
needle,mamba,0.01895,0.00228,5,0.0166,0.02051,0.0166,0.02246,0.01855
needle,mamba2,0.02266,0.00464,5,0.03027,0.0166,0.02441,0.02246,0.01953
needle,alt_attn_mamba,0.03633,0.0043,5,0.03418,0.03223,0.04102,0.04199,0.03223
needle,alt_attn_stu,0.03848,0.00403,5,0.03906,0.03418,0.04492,0.04004,0.03418
needle,headwise,0.01973,0.00362,5,0.02246,0.02441,0.0166,0.02051,0.01465
needle,stu,0.02734,0.00509,5,0.02539,0.02051,0.02832,0.03613,0.02637
nested_3_hop,attn,0.40586,0.01184,5,0.40918,0.39258,0.41504,0.4209,0.3916
nested_3_hop,mamba,0.40488,0.01218,5,0.40723,0.38672,0.41797,0.41699,0.39551
nested_3_hop,mamba2,0.40254,0.01362,5,0.41211,0.38086,0.41016,0.41699,0.39258
nested_3_hop,alt_attn_mamba,0.4002,0.01398,5,0.41602,0.38086,0.40234,0.41406,0.3877
nested_3_hop,alt_attn_stu,0.40195,0.01455,5,0.41016,0.37695,0.41113,0.41699,0.39453
nested_3_hop,headwise,0.40449,0.01253,5,0.41211,0.38281,0.40918,0.41895,0.39941
nested_3_hop,stu,0.4002,0.01503,5,0.40234,0.37598,0.40625,0.42188,0.39453
nested_lookup,attn,0.32578,0.00913,5,0.32812,0.30957,0.33594,0.33203,0.32324
nested_lookup,mamba,0.32852,0.0079,5,0.33105,0.31738,0.33496,0.33789,0.32129
nested_lookup,mamba2,0.32637,0.00724,5,0.32715,0.31348,0.32715,0.32812,0.33594
nested_lookup,alt_attn_mamba,0.32812,0.00771,5,0.32715,0.31348,0.33398,0.33301,0.33301
nested_lookup,alt_attn_stu,0.32539,0.01173,5,0.33301,0.30371,0.3252,0.33789,0.32715
nested_lookup,headwise,0.32637,0.00993,5,0.33301,0.30664,0.33203,0.33008,0.33008
nested_lookup,stu,0.32852,0.00626,5,0.33008,0.31738,0.33594,0.33203,0.32715
noisy_copy,attn,0.09004,0.03067,5,0.14746,0.08203,0.05859,0.09082,0.07129
noisy_copy,mamba,0.01816,0.00342,5,0.01758,0.01855,0.02441,0.01465,0.01562
noisy_copy,mamba2,0.01777,0.00561,5,0.01562,0.00781,0.02148,0.02344,0.02051
noisy_copy,alt_attn_mamba,0.9291,0.01806,5,0.94336,0.94238,0.89453,0.93652,0.92871
noisy_copy,alt_attn_stu,0.99805,0.00138,5,0.99707,1.0,0.99805,0.99902,0.99609
noisy_copy,headwise,0.03105,0.00597,5,0.03418,0.02051,0.0332,0.03809,0.0293
noisy_copy,stu,0.04609,0.00484,5,0.04199,0.0459,0.05469,0.04688,0.04102
parity,attn,0.50195,0.01028,5,0.50586,0.49512,0.48535,0.51172,0.51172
parity,mamba,0.50176,0.01042,5,0.50586,0.49414,0.48535,0.51172,0.51172
parity,mamba2,0.50605,0.01065,5,0.50879,0.50879,0.48535,0.51172,0.51562
parity,alt_attn_mamba,0.5041,0.00973,5,0.50586,0.50586,0.48535,0.51172,0.51172
parity,alt_attn_stu,0.50332,0.00972,5,0.50586,0.50195,0.48535,0.51172,0.51172
parity,headwise,0.50527,0.01022,5,0.50586,0.51172,0.48535,0.51172,0.51172
parity,stu,0.50605,0.01118,5,0.50879,0.50586,0.48535,0.51172,0.51855
patch_match,attn,0.50215,0.01312,5,0.49316,0.52246,0.49707,0.51172,0.48633
patch_match,mamba,0.50273,0.01473,5,0.49707,0.52246,0.50098,0.51367,0.47949
patch_match,mamba2,0.50566,0.01463,5,0.49707,0.52246,0.51367,0.51367,0.48145
patch_match,alt_attn_mamba,0.50762,0.00995,5,0.49609,0.52246,0.50684,0.51465,0.49805
patch_match,alt_attn_stu,0.50195,0.02177,5,0.50684,0.52246,0.50684,0.51367,0.45996
patch_match,headwise,0.50391,0.01477,5,0.49707,0.52246,0.50684,0.51367,0.47949
patch_match,stu,0.50391,0.01477,5,0.49707,0.52246,0.50684,0.51367,0.47949
pattern_completion,attn,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
pattern_completion,mamba,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
pattern_completion,mamba2,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
pattern_completion,alt_attn_mamba,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
pattern_completion,alt_attn_stu,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
pattern_completion,headwise,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
pattern_completion,stu,1.0,0.0,5,1.0,1.0,1.0,1.0,1.0
piecewise_denoise,attn,0.99692,6e-05,5,0.99689,0.99699,0.99695,0.99695,0.99683
piecewise_denoise,mamba,0.94171,0.00227,5,0.94009,0.94057,0.94286,0.93942,0.94563
piecewise_denoise,mamba2,0.9859,0.00222,5,0.98889,0.98218,0.98517,0.98697,0.98631
piecewise_denoise,alt_attn_mamba,0.99696,7e-05,5,0.99694,0.99705,0.99689,0.99704,0.99687
piecewise_denoise,alt_attn_stu,0.99692,0.0001,5,0.99691,0.99697,0.99676,0.99705,0.99689
piecewise_denoise,headwise,0.99655,0.00024,5,0.99679,0.99662,0.99656,0.99669,0.99609
piecewise_denoise,stu,0.98296,0.00036,5,0.98354,0.98283,0.98243,0.98311,0.98288
quad_recall,attn,0.15273,0.00482,5,0.15405,0.14648,0.14795,0.15601,0.15918
quad_recall,mamba,0.14775,0.00971,5,0.15381,0.14331,0.13086,0.15283,0.15796
quad_recall,mamba2,0.14834,0.00539,5,0.15625,0.14453,0.14087,0.14819,0.15186
quad_recall,alt_attn_mamba,0.15332,0.00613,5,0.15381,0.14624,0.14648,0.16064,0.15942
quad_recall,alt_attn_stu,0.15435,0.00681,5,0.16309,0.14551,0.14722,0.15771,0.1582
quad_recall,headwise,0.15137,0.00572,5,0.1521,0.146,0.14453,0.15381,0.1604
